predicted,actual
23.4,50
36.6,44
17.0,42
29.0,59
41.2,47
40.0,50
49.2,53
14.8,10
31.6,61
12.6,0
8.6,0
26.4,13
35.0,15
18.4,0
60.4,2
40.2,33
58.8,67
43.2,57
41.6,0
20.6,0
18.4,0
20.4,21
31.6,48
22.4,0
33.0,50
28.6,26
32.2,0
46.6,0
35.8,0
32.4,79
26.4,25
32.8,0
29.2,74
57.4,66
37.0,29
33.0,76
39.0,75
20.0,33
40.4,65
38.4,56
20.6,0
7.4,0
49.8,31
31.0,27
20.8,0
15.2,0
31.4,0
24.2,52
15.0,0
44.4,52
45.2,0
32.2,0
26.2,40
37.6,64
31.2,0
30.4,56
19.4,57
65.2,11
29.6,0
18.4,0
6.2,0
48.4,74
17.4,30
26.4,2
66.0,74
59.0,69
44.8,61
55.0,76
45.6,39
33.6,17
69.6,77
25.8,33
19.6,0
32.4,41
38.8,69
45.0,25
33.6,62
37.4,0
22.2,42
26.4,42
32.4,51
29.6,58
41.4,27
16.2,62
35.2,33
35.6,0
11.2,4
6.6,0
30.6,33
31.0,54
40.6,47
40.0,51
28.4,29
11.0,0
55.4,44
36.8,50
45.4,18
26.8,54
30.8,46
29.8,55
41.4,45
44.0,72
41.6,0
11.6,53
29.8,63
37.4,55
38.6,63
26.0,52
17.8,5
11.0,0
46.6,67
50.8,69
51.6,75
36.0,65
25.2,24
57.2,52
58.0,72
21.4,0
11.6,1
28.4,0
69.4,81
23.2,0
50.0,59
29.0,63
52.2,73
35.0,43
11.6,0
33.0,51
34.2,0
11.2,56
37.4,71
34.4,62
58.4,75
12.4,0
29.0,40
38.0,46
34.4,66
24.0,13
29.4,39
49.8,64
67.0,64
70.2,71
47.4,0
25.6,5
50.4,38
24.0,35
34.8,35
27.0,68
28.6,42
39.4,45
48.6,48
38.6,67
27.8,21
45.2,58
44.0,83
38.4,0
35.4,1
37.2,60
15.4,0
42.6,51
35.6,59
27.2,2
22.6,75
25.6,0
52.8,53
21.0,27
42.0,69
29.0,0
18.4,3
18.0,0
54.0,75
11.4,0
40.8,59
18.4,8
38.4,0
24.6,0
28.6,63
54.6,0
65.6,59
40.4,0
20.6,0
32.8,0
46.4,30
34.8,9
14.8,30
7.4,5
26.8,0
44.2,61
54.8,80
24.2,59
52.6,67
35.4,66
26.4,73
52.0,57
38.0,29
17.4,0
39.2,54
10.2,0
40.4,12
58.6,0
67.2,61
38.4,67
50.6,66
39.0,57
40.4,0
23.6,14
31.6,42
26.2,54
33.8,63
8.0,0
47.4,75
25.0,0
51.2,73
67.2,64
72.4,55
56.2,69
39.4,0
49.6,55
45.2,59
21.8,1
33.6,67
35.8,0
29.4,40
42.8,0
44.4,61
12.8,0
44.4,74
24.2,37
22.8,68
14.4,0
43.0,72
27.2,0
31.8,48
29.2,0
23.4,3
46.4,51
36.8,0
39.8,54
29.2,0
13.4,0
12.4,0
0.0,0
33.6,27
33.8,0
42.2,54
49.2,40
27.4,41
45.6,0
42.0,56
12.6,0
26.6,46
29.4,2
24.4,0
50.2,51
38.2,0
42.4,37
49.0,0
24.8,54
33.4,6
18.2,0
29.0,1
23.6,33
56.4,50
55.2,7
52.4,35
22.4,50
34.2,31
18.2,43
43.2,71
28.6,25
11.8,0
38.2,63
40.2,51
40.6,0
22.2,0
44.6,72
24.6,0
39.4,62
44.6,82
47.6,77
34.8,0
6.4,0
36.0,62
27.8,0
42.0,69
17.0,5
4.2,7
52.2,14
47.0,74
24.2,73
27.2,69
43.4,53
36.2,0
44.4,51
56.4,75
17.0,0
48.6,33
46.8,31
13.4,0
36.0,40
41.8,44
17.8,44
1.2,0
31.2,9
47.6,19
28.4,10
16.2,76
40.6,61
28.2,0
50.8,0
42.4,18
35.2,21
17.0,0
15.0,25
19.0,0
43.4,44
38.8,38
17.6,0
50.8,68
47.2,62
24.0,0
20.8,31
37.0,0
40.0,50
19.2,3
30.8,0
16.2,0
17.2,0
27.4,0
34.8,53
64.2,74
29.8,0
25.6,37
39.8,41
30.8,53
50.6,45
27.8,67
56.6,79
26.4,52
33.8,0
32.6,88
17.2,0
48.2,0
56.0,81
26.4,53
15.2,5
39.8,42
36.8,0
23.2,0
12.4,0
13.4,0
16.8,0
23.8,0
26.0,70
24.4,0
33.0,76
31.2,39
21.6,0
37.6,59
32.0,0
38.8,44
27.0,39
25.8,0
21.0,0
18.8,5
57.2,68
25.0,56
21.2,1
20.2,18
38.8,37
48.8,57
51.2,8
22.8,15
24.6,0
25.0,19
9.8,37
64.8,64
32.8,25
41.8,40
39.0,0
69.0,55
23.4,44
39.4,64
27.4,76
22.0,1
24.0,39
51.2,0
48.2,2
28.2,0
9.4,0
35.0,52
34.6,38
36.4,59
15.8,26
41.0,35
19.6,1
42.4,53
49.2,64
53.4,16
41.4,55
54.0,58
30.0,60
23.8,26
14.0,32
47.4,67
47.4,9
17.4,44
33.0,60
36.6,28
16.6,49
4.6,0
70.2,60
21.8,2
44.6,37
41.6,69
17.2,19
27.2,24
37.4,29
39.8,42
33.4,0
22.8,32
13.0,0
16.0,0
22.4,3
22.4,2
19.2,0
36.8,0
12.2,0
29.0,11
21.2,26
51.0,60
57.8,39
54.0,70
8.8,30
48.2,53
34.8,0
19.6,58
31.8,0
24.2,0
36.4,0
20.4,23
25.8,38
46.4,0
53.6,63
33.8,63
29.2,0
17.2,48
42.2,0
71.4,59
31.4,0
11.6,0
59.0,51
35.8,0
59.0,68
29.8,56
45.6,69
54.2,44
48.8,66
38.8,57
17.2,42
42.4,41
31.2,10
33.6,0
62.2,70
33.6,43
48.6,13
48.4,63
52.2,55
23.2,24
25.4,55
67.4,74
34.4,0
50.4,0
11.4,56
12.8,14
30.4,37
12.6,0
0.0,0
37.2,47
26.6,39
33.8,71
21.0,40
41.2,15
32.6,38
43.0,54
51.4,42
46.8,38
61.4,60
27.2,0
11.8,0
26.4,15
5.0,0
38.8,59
30.2,44
32.4,0
31.8,33
38.4,0
34.0,38
54.0,46
18.4,0
48.0,17
40.8,65
69.6,70
20.0,58
36.6,0
44.8,51
28.8,3
28.6,37
26.2,76
16.2,12
41.4,46
28.8,0
34.6,64
29.2,51
14.4,12
64.0,80
24.8,0
37.8,72
28.2,51
23.8,66
17.6,0
41.0,51
39.2,37
53.0,56
55.0,52
54.4,75
8.0,0
55.6,65
36.8,0
25.0,31
53.2,38
9.0,35
45.4,65
30.0,49
58.4,63
48.0,0
22.2,35
37.8,0
38.0,58
20.4,53
21.8,0
33.0,0
37.8,50
16.2,74
28.8,0
29.2,35
40.8,69
36.4,71
29.4,54
53.8,31
49.0,77
20.2,0
27.6,32
43.2,51
15.4,33
27.0,38
44.0,52
27.0,0
46.4,59
41.6,33
20.0,57
42.4,71
55.0,67
26.0,70
49.8,37
32.6,49
19.4,8
27.6,33
45.8,64
53.0,60
31.2,13
23.2,6
57.2,20
57.6,75
22.0,1
18.4,61
10.8,4
25.4,0
51.0,36
42.8,31
41.6,46
57.0,64
33.6,48
18.4,69
30.6,14
37.0,54
23.4,59
66.6,74
21.6,54
27.8,44
28.8,43
37.2,0
31.6,0
16.6,1
35.6,71
36.6,0
31.2,45
50.0,38
49.0,33
48.6,34
22.6,34
12.4,0
21.8,46
55.6,9
12.8,0
35.2,34
44.2,47
36.4,62
26.6,3
44.4,46
36.0,73
19.8,0
20.8,0
14.0,70
17.4,34
34.4,71
26.6,34
53.4,67
54.2,45
27.6,30
22.4,0
29.8,0
46.0,72
32.8,48
31.4,57
21.2,0
29.4,0
54.6,59
49.0,69
29.6,68
31.0,23
40.6,45
13.2,31
30.6,44
11.8,43
38.4,52
42.8,2
40.2,0
20.0,22
25.4,0
44.4,0
17.4,15
31.4,0
45.4,11
21.0,0
8.6,0
30.4,4
47.0,61
12.4,12
18.4,37
19.0,55
65.0,56
45.0,49
54.4,74
56.0,61
29.6,45
39.2,0
31.2,0
5.4,0
32.0,52
45.0,0
37.0,52
24.4,40
54.4,48
27.4,0
40.6,4
55.6,51
15.8,0
40.4,61
31.0,56
60.6,47
19.0,0
70.6,68
65.6,46
51.2,73
24.0,54
37.6,55
17.4,49
28.4,0
50.8,57
55.2,55
23.6,0
46.6,62
37.0,35
9.0,14
25.2,0
21.8,62
40.2,56
44.4,2
19.0,0
33.4,41
70.8,81
39.6,44
36.8,41
38.0,38
39.8,34
43.4,62
58.6,81
29.4,7
48.8,63
54.8,63
18.2,0
41.0,45
13.2,0
60.4,0
48.0,58
34.8,0
34.0,0
27.4,0
29.2,0
18.4,0
33.8,42
55.8,41
30.0,0
46.8,71
56.0,75
47.4,41
19.6,23
10.2,0
0.4,0
25.0,62
41.4,45
33.4,0
61.4,78
59.0,65
10.4,42
26.0,79
13.2,0
15.8,28
27.6,26
36.0,34
41.6,77
41.0,42
64.2,49
34.0,36
36.6,0
53.4,86
21.2,0
72.6,75
16.8,0
27.0,57
43.8,39
30.6,51
25.0,0
7.6,0
32.4,15
24.4,0
32.6,44
35.8,30
23.0,10
35.0,40
27.8,0
13.0,57
37.4,49
21.4,3
38.0,44
52.8,53
32.6,38
45.4,40
18.0,41
16.2,0
49.8,56
27.4,47
24.8,33
14.4,0
38.2,15
41.0,2
10.6,18
31.6,62
16.6,0
23.8,27
39.0,37
11.4,27
61.8,0
39.0,43
52.4,66
54.2,35
35.0,0
42.6,37
25.6,0
36.4,74
42.4,37
50.8,51
20.8,0
13.6,0
20.2,0
42.2,78
21.8,4
45.4,71
10.0,50
44.2,73
20.4,6
29.2,32
54.2,86
39.8,67
20.8,0
39.2,0
30.4,24
52.6,46
25.4,59
35.0,15
51.8,60
54.0,52
19.4,0
39.4,0
35.0,42
55.8,76
39.4,37
24.0,48
69.6,76
26.0,41
11.6,0
41.2,60
64.6,61
4.2,0
27.4,51
21.6,56
39.2,3
13.8,31
42.2,55
16.2,0
41.2,0
43.0,0
31.6,0
29.4,60
73.2,54
11.2,0
31.6,47
18.4,9
34.6,25
33.2,40
44.0,0
21.4,0
25.4,2
26.4,62
58.0,62
4.8,0
74.6,76
17.4,0
22.6,24
18.8,0
40.0,63
15.6,38
56.6,69
25.8,0
25.8,47
57.0,50
26.2,0
42.8,38
49.8,38
33.2,22
40.4,50
24.4,26
52.8,0
42.0,0
37.0,69
48.8,67
56.4,52
54.6,81
28.4,41
53.2,0
40.6,44
36.0,60
38.6,0
19.6,37
32.8,35
31.6,28
35.0,74
60.0,69
9.2,0
34.2,0
41.6,69
33.0,51
40.2,27
27.6,61
53.8,78
17.6,0
48.6,61
23.4,0
46.4,56
24.0,12
28.4,0
67.8,73
42.6,77
43.6,57
31.0,0
53.4,75
47.4,16
33.4,0
37.2,0
53.4,54
36.4,76
23.6,0
12.6,0
28.6,31
13.2,0
14.0,0
26.4,64
60.6,61
43.2,52
1.4,0
56.2,69
41.8,54
37.0,53
14.6,0
4.4,2
28.0,0
34.0,43
27.4,0
38.4,0
26.0,0
38.4,64
31.8,73
36.6,48
47.8,26
55.0,55
45.4,31
17.4,0
9.8,15
4.0,0
29.6,0
23.0,46
18.6,0
42.2,58
37.0,27
35.8,34
61.8,51
30.8,66
23.2,0
36.0,0
40.0,48
45.2,33
55.4,45
10.2,8
14.0,39
18.0,49
