predicted,actual
0,50
0,44
0,42
0,59
0,47
0,50
0,53
0,10
0,61
0,0
0,0
0,13
0,15
0,0
0,2
0,33
0,67
0,57
0,0
0,0
0,0
0,21
0,48
0,0
0,50
0,26
0,0
0,0
0,0
0,79
0,25
0,0
0,74
0,66
0,29
0,76
0,75
0,33
0,65
0,56
0,0
0,0
0,31
0,27
0,0
0,0
0,0
0,52
0,0
0,52
0,0
0,0
0,40
0,64
0,0
0,56
0,57
0,11
0,0
0,0
0,0
0,74
0,30
0,2
0,74
0,69
0,61
0,76
0,39
0,17
0,77
0,33
0,0
0,41
0,69
0,25
0,62
0,0
0,42
0,42
0,51
0,58
0,27
0,62
0,33
0,0
0,4
0,0
0,33
0,54
0,47
0,51
0,29
0,0
0,44
0,50
0,18
0,54
0,46
0,55
0,45
0,72
0,0
0,53
0,63
0,55
0,63
0,52
0,5
0,0
0,67
0,69
0,75
0,65
0,24
0,52
0,72
0,0
0,1
0,0
0,81
0,0
0,59
0,63
0,73
0,43
0,0
0,51
0,0
0,56
0,71
0,62
0,75
0,0
0,40
0,46
0,66
0,13
0,39
0,64
0,64
0,71
0,0
0,5
0,38
0,35
0,35
0,68
0,42
0,45
0,48
0,67
0,21
0,58
0,83
0,0
0,1
0,60
0,0
0,51
0,59
0,2
0,75
0,0
0,53
0,27
0,69
0,0
0,3
0,0
0,75
0,0
0,59
0,8
0,0
0,0
0,63
0,0
0,59
0,0
0,0
0,0
0,30
0,9
0,30
0,5
0,0
0,61
0,80
0,59
0,67
0,66
0,73
0,57
0,29
0,0
0,54
0,0
0,12
0,0
0,61
0,67
0,66
0,57
0,0
0,14
0,42
0,54
0,63
0,0
0,75
0,0
0,73
0,64
0,55
0,69
0,0
0,55
0,59
0,1
0,67
0,0
0,40
0,0
0,61
0,0
0,74
0,37
0,68
0,0
0,72
0,0
0,48
0,0
0,3
0,51
0,0
0,54
0,0
0,0
0,0
0,0
0,27
0,0
0,54
0,40
0,41
0,0
0,56
0,0
0,46
0,2
0,0
0,51
0,0
0,37
0,0
0,54
0,6
0,0
0,1
0,33
0,50
0,7
0,35
0,50
0,31
0,43
0,71
0,25
0,0
0,63
0,51
0,0
0,0
0,72
0,0
0,62
0,82
0,77
0,0
0,0
0,62
0,0
0,69
0,5
0,7
0,14
0,74
0,73
0,69
0,53
0,0
0,51
0,75
0,0
0,33
0,31
0,0
0,40
0,44
0,44
0,0
0,9
0,19
0,10
0,76
0,61
0,0
0,0
0,18
0,21
0,0
0,25
0,0
0,44
0,38
0,0
0,68
0,62
0,0
0,31
0,0
0,50
0,3
0,0
0,0
0,0
0,0
0,53
0,74
0,0
0,37
0,41
0,53
0,45
0,67
0,79
0,52
0,0
0,88
0,0
0,0
0,81
0,53
0,5
0,42
0,0
0,0
0,0
0,0
0,0
0,0
0,70
0,0
0,76
0,39
0,0
0,59
0,0
0,44
0,39
0,0
0,0
0,5
0,68
0,56
0,1
0,18
0,37
0,57
0,8
0,15
0,0
0,19
0,37
0,64
0,25
0,40
0,0
0,55
0,44
0,64
0,76
0,1
0,39
0,0
0,2
0,0
0,0
0,52
0,38
0,59
0,26
0,35
0,1
0,53
0,64
0,16
0,55
0,58
0,60
0,26
0,32
0,67
0,9
0,44
0,60
0,28
0,49
0,0
0,60
0,2
0,37
0,69
0,19
0,24
0,29
0,42
0,0
0,32
0,0
0,0
0,3
0,2
0,0
0,0
0,0
0,11
0,26
0,60
0,39
0,70
0,30
0,53
0,0
0,58
0,0
0,0
0,0
0,23
0,38
0,0
0,63
0,63
0,0
0,48
0,0
0,59
0,0
0,0
0,51
0,0
0,68
0,56
0,69
0,44
0,66
0,57
0,42
0,41
0,10
0,0
0,70
0,43
0,13
0,63
0,55
0,24
0,55
0,74
0,0
0,0
0,56
0,14
0,37
0,0
0,0
0,47
0,39
0,71
0,40
0,15
0,38
0,54
0,42
0,38
0,60
0,0
0,0
0,15
0,0
0,59
0,44
0,0
0,33
0,0
0,38
0,46
0,0
0,17
0,65
0,70
0,58
0,0
0,51
0,3
0,37
0,76
0,12
0,46
0,0
0,64
0,51
0,12
0,80
0,0
0,72
0,51
0,66
0,0
0,51
0,37
0,56
0,52
0,75
0,0
0,65
0,0
0,31
0,38
0,35
0,65
0,49
0,63
0,0
0,35
0,0
0,58
0,53
0,0
0,0
0,50
0,74
0,0
0,35
0,69
0,71
0,54
0,31
0,77
0,0
0,32
0,51
0,33
0,38
0,52
0,0
0,59
0,33
0,57
0,71
0,67
0,70
0,37
0,49
0,8
0,33
0,64
0,60
0,13
0,6
0,20
0,75
0,1
0,61
0,4
0,0
0,36
0,31
0,46
0,64
0,48
0,69
0,14
0,54
0,59
0,74
0,54
0,44
0,43
0,0
0,0
0,1
0,71
0,0
0,45
0,38
0,33
0,34
0,34
0,0
0,46
0,9
0,0
0,34
0,47
0,62
0,3
0,46
0,73
0,0
0,0
0,70
0,34
0,71
0,34
0,67
0,45
0,30
0,0
0,0
0,72
0,48
0,57
0,0
0,0
0,59
0,69
0,68
0,23
0,45
0,31
0,44
0,43
0,52
0,2
0,0
0,22
0,0
0,0
0,15
0,0
0,11
0,0
0,0
0,4
0,61
0,12
0,37
0,55
0,56
0,49
0,74
0,61
0,45
0,0
0,0
0,0
0,52
0,0
0,52
0,40
0,48
0,0
0,4
0,51
0,0
0,61
0,56
0,47
0,0
0,68
0,46
0,73
0,54
0,55
0,49
0,0
0,57
0,55
0,0
0,62
0,35
0,14
0,0
0,62
0,56
0,2
0,0
0,41
0,81
0,44
0,41
0,38
0,34
0,62
0,81
0,7
0,63
0,63
0,0
0,45
0,0
0,0
0,58
0,0
0,0
0,0
0,0
0,0
0,42
0,41
0,0
0,71
0,75
0,41
0,23
0,0
0,0
0,62
0,45
0,0
0,78
0,65
0,42
0,79
0,0
0,28
0,26
0,34
0,77
0,42
0,49
0,36
0,0
0,86
0,0
0,75
0,0
0,57
0,39
0,51
0,0
0,0
0,15
0,0
0,44
0,30
0,10
0,40
0,0
0,57
0,49
0,3
0,44
0,53
0,38
0,40
0,41
0,0
0,56
0,47
0,33
0,0
0,15
0,2
0,18
0,62
0,0
0,27
0,37
0,27
0,0
0,43
0,66
0,35
0,0
0,37
0,0
0,74
0,37
0,51
0,0
0,0
0,0
0,78
0,4
0,71
0,50
0,73
0,6
0,32
0,86
0,67
0,0
0,0
0,24
0,46
0,59
0,15
0,60
0,52
0,0
0,0
0,42
0,76
0,37
0,48
0,76
0,41
0,0
0,60
0,61
0,0
0,51
0,56
0,3
0,31
0,55
0,0
0,0
0,0
0,0
0,60
0,54
0,0
0,47
0,9
0,25
0,40
0,0
0,0
0,2
0,62
0,62
0,0
0,76
0,0
0,24
0,0
0,63
0,38
0,69
0,0
0,47
0,50
0,0
0,38
0,38
0,22
0,50
0,26
0,0
0,0
0,69
0,67
0,52
0,81
0,41
0,0
0,44
0,60
0,0
0,37
0,35
0,28
0,74
0,69
0,0
0,0
0,69
0,51
0,27
0,61
0,78
0,0
0,61
0,0
0,56
0,12
0,0
0,73
0,77
0,57
0,0
0,75
0,16
0,0
0,0
0,54
0,76
0,0
0,0
0,31
0,0
0,0
0,64
0,61
0,52
0,0
0,69
0,54
0,53
0,0
0,2
0,0
0,43
0,0
0,0
0,0
0,64
0,73
0,48
0,26
0,55
0,31
0,0
0,15
0,0
0,0
0,46
0,0
0,58
0,27
0,34
0,51
0,66
0,0
0,0
0,48
0,33
0,45
0,8
0,39
0,49
0,0
0,49
0,50
0,0
0,9
0,68
0,14
0,46
0,1
0,75
0,0
0,0
0,18
0,4
0,9
0,0
0,63
0,90
0,69
0,18
0,7
0,56
0,29
0,49
0,0
0,40
0,17
0,52
0,74
0,0
0,0
0,10
0,0
0,68
0,0
0,36
0,52
0,16
0,0
0,51
0,54
0,63
0,0
0,70
0,71
0,52
0,0
0,44
0,31
0,4
0,7
0,1
0,53
0,56
0,28
0,52
0,66
0,52
0,0
0,0
0,64
0,0
0,45
0,36
0,29
0,28
0,45
0,58
0,31
0,60
0,66
0,0
0,0
0,46
0,0
0,0
0,43
0,53
0,39
0,61
0,58
0,30
0,0
0,35
0,48
0,74
0,69
0,0
0,1
0,56
0,84
0,48
0,47
0,69
0,59
0,0
0,50
0,0
0,57
0,23
0,48
0,45
0,69
0,44
0,70
0,43
0,0
0,46
0,61
0,49
0,45
0,0
0,57
0,12
0,53
0,59
0,39
0,0
0,9
0,57
0,74
0,50
0,0
0,0
0,0
0,71
0,54
0,71
0,64
0,0
0,51
0,0
0,64
0,31
0,23
0,8
0,0
0,61
0,3
0,63
0,0
0,0
0,38
0,77
0,0
0,71
0,14
0,25
0,20
0,72
0,0
0,77
0,3
0,0
0,81
0,61
0,67
0,54
0,71
0,0
0,33
0,3
0,75
0,52
0,0
0,0
0,14
0,0
0,59
0,54
0,72
0,65
0,0
0,0
0,55
0,70
0,23
0,2
0,0
0,0
0,69
0,21
0,0
0,0
0,70
0,35
0,68
0,44
0,69
0,49
0,41
0,0
0,74
0,50
0,69
0,0
0,55
0,32
0,0
0,69
0,0
0,69
0,2
0,70
0,49
0,11
0,0
0,67
0,21
0,57
0,26
0,59
0,22
0,0
0,0
0,76
0,0
0,0
0,61
0,0
0,0
0,0
0,0
0,79
0,0
0,0
0,4
0,71
0,44
0,48
0,48
0,40
0,51
0,0
0,0
0,64
0,34
0,45
0,74
0,41
0,33
0,68
0,0
0,68
0,0
0,63
0,53
0,34
0,24
0,0
0,7
0,44
0,34
0,65
0,50
0,60
0,74
0,69
0,23
0,73
0,50
0,1
0,54
0,35
0,54
0,47
0,0
0,72
0,0
0,0
0,50
0,53
0,0
0,4
0,66
0,84
0,0
0,0
0,32
0,13
0,58
0,30
0,68
0,64
0,60
0,0
0,47
0,5
0,0
0,0
0,0
0,0
0,65
0,23
0,35
0,3
0,67
0,0
0,54
0,26
0,0
0,78
0,0
0,77
0,17
0,49
0,0
0,0
0,62
0,51
0,76
0,30
0,53
0,54
0,0
0,52
0,46
0,0
0,0
0,67
0,15
0,50
0,57
0,20
0,65
0,60
0,20
0,0
0,61
0,0
0,0
0,0
0,0
0,76
0,19
0,66
0,49
0,2
0,0
0,0
0,37
0,0
0,53
0,48
0,40
0,0
0,48
0,0
0,47
0,3
0,1
0,39
0,67
0,51
0,1
0,0
0,0
0,54
0,0
0,67
0,35
0,36
0,17
0,0
0,0
0,43
0,35
0,53
0,0
0,83
0,36
0,77
0,0
0,67
0,46
0,41
0,0
0,63
0,45
0,53
0,6
0,6
0,0
0,0
0,26
0,5
0,4
0,1
0,58
0,0
0,77
0,75
0,68
0,59
0,66
0,41
0,0
0,2
0,58
0,61
0,55
0,2
0,6
0,0
0,38
0,50
0,4
0,52
0,12
0,8
0,0
0,48
0,58
0,19
0,0
0,58
0,50
0,0
0,66
0,42
0,83
0,87
0,57
0,0
0,67
0,0
0,85
0,0
0,11
0,0
0,49
0,45
0,32
0,84
0,50
0,69
0,0
0,26
0,61
0,0
0,3
0,28
0,0
0,70
0,0
0,54
0,71
0,63
0,0
0,20
0,39
0,47
0,0
0,63
0,45
0,9
0,0
0,29
0,0
0,0
0,66
0,56
0,53
0,52
0,42
0,63
0,47
0,0
0,4
0,46
0,8
0,11
0,0
0,0
0,36
0,0
0,38
0,0
0,0
0,19
0,34
0,4
0,51
0,55
0,29
0,58
0,0
0,39
0,1
0,37
0,49
0,42
0,70
0,0
0,22
0,68
0,0
0,56
0,45
0,27
0,0
0,45
0,68
0,28
0,45
0,0
0,82
0,58
0,28
0,69
0,0
0,3
0,54
0,0
0,49
0,0
0,45
0,76
0,43
0,40
0,61
0,71
0,0
0,60
0,2
0,24
0,0
0,0
0,40
0,70
0,0
0,0
0,42
0,0
0,52
0,31
0,67
0,38
0,39
0,73
0,72
0,44
0,0
0,65
0,45
0,1
0,0
0,60
0,35
0,64
0,61
0,63
0,43
0,0
0,67
0,0
0,29
0,0
0,0
0,0
0,14
0,54
0,79
0,0
0,66
0,66
0,0
0,41
0,66
0,53
0,0
0,50
0,0
0,0
0,0
0,48
0,59
0,12
0,0
0,0
0,31
0,29
0,26
0,68
0,22
0,58
0,0
0,72
0,41
0,29
0,55
0,77
0,34
0,42
0,0
0,32
0,18
0,0
0,56
0,61
0,0
0,40
0,0
0,43
0,52
0,35
0,24
0,70
0,53
0,7
0,44
0,0
0,0
0,61
0,63
0,58
0,65
0,53
0,0
0,0
0,71
0,24
0,75
0,14
0,71
0,55
0,13
0,60
0,0
0,66
0,0
0,8
0,0
0,50
0,41
0,47
0,9
0,63
0,53
0,7
0,36
0,63
0,69
0,47
0,27
0,68
0,0
0,0
0,41
0,32
0,13
0,80
0,0
0,0
0,73
0,29
0,25
0,47
0,0
0,0
0,0
0,63
0,57
0,74
0,71
0,58
0,11
0,29
0,24
0,55
0,75
0,65
0,64
0,41
0,14
0,58
0,54
0,0
0,48
0,0
0,0
0,67
0,4
0,54
0,15
0,0
0,0
0,49
0,55
0,62
0,0
0,47
0,0
0,69
0,48
0,0
0,40
0,14
0,54
0,0
0,0
0,54
0,63
0,3
0,61
0,47
0,0
0,0
0,18
0,0
0,83
0,72
0,58
0,0
0,57
0,63
0,0
0,4
0,49
0,0
0,36
0,38
0,62
0,24
0,0
0,57
0,0
0,77
0,0
0,16
0,0
0,0
0,75
0,59
0,68
0,24
0,43
0,0
0,0
0,46
0,31
0,0
0,56
0,0
0,5
0,61
0,0
0,40
0,41
0,54
0,0
0,69
0,53
0,54
0,0
0,42
0,43
0,34
0,0
0,0
0,88
0,11
0,36
0,0
0,75
0,67
0,79
0,0
0,70
0,0
0,2
0,0
0,38
0,0
0,53
0,52
0,62
0,46
0,61
0,28
0,24
0,69
0,0
0,0
0,0
0,7
0,57
0,66
0,65
0,12
0,0
0,10
0,38
0,66
0,52
0,0
0,0
0,65
0,52
0,63
0,83
0,0
0,69
0,30
0,36
0,34
0,0
0,57
0,0
0,0
0,0
0,0
0,45
0,6
0,77
0,6
0,21
0,0
0,51
0,58
0,31
0,75
0,46
0,51
0,58
0,63
0,36
0,0
0,2
0,33
0,0
0,30
0,47
0,60
0,0
0,2
0,12
0,0
0,0
0,2
0,0
0,0
0,90
0,57
0,75
0,0
0,77
0,14
0,74
0,0
0,63
0,23
0,0
0,52
0,48
0,0
0,62
0,44
0,37
0,45
0,51
0,0
0,0
0,15
0,38
0,49
0,47
0,0
0,42
0,40
0,63
0,81
0,0
0,57
0,0
0,0
0,32
0,35
0,85
0,0
0,0
0,72
0,37
0,0
0,63
0,77
0,48
0,12
0,0
0,62
0,0
0,57
0,68
0,0
0,4
0,60
0,0
0,69
0,0
0,0
0,3
0,44
0,37
0,14
0,0
0,1
0,73
0,0
0,1
0,55
0,73
0,77
0,60
0,0
0,51
0,42
0,39
0,39
0,0
0,0
0,55
0,31
0,0
0,37
0,0
0,13
0,0
0,71
0,43
0,0
0,27
0,45
0,54
0,64
0,0
0,0
0,0
0,24
0,0
0,7
0,45
0,0
0,66
0,0
0,60
0,21
0,24
0,10
0,61
0,73
0,56
0,22
0,77
0,0
0,2
0,76
0,86
0,0
0,60
0,58
0,29
0,53
0,38
0,0
0,0
0,0
0,0
0,61
0,41
0,1
0,32
0,67
0,41
0,59
0,35
0,2
0,0
0,35
0,43
0,32
0,0
0,0
0,44
0,1
0,11
0,56
0,52
0,56
0,75
0,60
0,5
0,3
0,0
0,0
0,79
0,33
0,79
0,1
0,0
0,20
0,69
0,0
0,53
0,69
0,42
0,51
0,46
0,19
0,0
0,0
0,47
0,14
0,0
0,65
0,0
0,40
0,0
0,48
0,49
0,76
0,67
0,2
0,65
0,65
0,35
0,78
0,55
0,62
0,69
0,66
0,70
0,16
0,51
0,57
0,41
0,74
0,0
0,0
0,13
0,45
0,61
0,58
0,0
0,50
0,62
0,0
0,58
0,44
0,0
0,37
0,47
0,0
0,56
0,24
0,59
0,69
0,47
0,0
0,23
0,31
0,0
0,62
0,68
0,52
0,26
0,0
0,1
0,5
0,47
0,44
0,62
0,46
0,54
0,73
0,28
0,49
0,58
0,0
0,54
0,40
0,29
0,58
0,49
0,2
0,0
0,60
0,73
0,0
0,29
0,0
0,53
0,56
0,25
0,0
0,44
0,0
0,73
0,37
0,33
0,52
0,80
0,0
0,0
0,78
0,2
0,24
