predicted,actual
41.42,50
38.92,44
39.36,42
50.87,59
42.59,47
45.14,50
46.61,53
16.49,10
55.34,61
10.02,0
7.97,0
19.88,13
31.34,15
6.59,0
30.5,2
36.13,33
54.7175,67
51.83,57
11.19,0
11.24,0
11.55,0
25.1,21
41.91,48
8.12,0
42.47,50
27.69,26
15.61,0
13.13,0
13.44,0
71.08,79
26.18,25
12.75,0
55.45,74
58.07,66
32.39,29
64.19,76
55.48166666666666,75
34.65,33
51.84,65
52.15,56
16.32,0
6.69,0
35.22,31
35.5625,27
2.64,0
7.66,0
5.25,0
45.3,52
14.43,0
46.83,52
14.66,0
11.15,0
35.64,40
55.25333333333334,64
7.37,0
50.06,56
46.25,57
23.58,11
18.27,0
11.44,0
9.3,0
58.92,74
31.49,30
11.54,2
61.74,74
56.99,69
51.74,61
64.57,76
37.4,39
31.89,17
67.992,77
31.61,33
6.38,0
38.35,41
59.04,69
32.11,25
44.81,62
14.68,0
39.7,42
41.3,42
42.79,51
46.84,58
25.82,27
49.87,62
37.24,33
19.4,0
15.42,4
10.5,0
34.45,33
49.93,54
39.57,47
43.6,51
28.03,29
6.75,0
38.68,44
42.83,50
20.1,18
40.3,54
38.19,46
44.87,55
42.24,45
58.97,72
15.43,0
44.32,53
53.95,63
54.66,55
55.975,63
44.0,52
14.8,5
9.55,0
51.75,67
52.98,69
65.27,75
61.23,65
27.58,24
50.94,52
56.05,72
13.2,0
13.34,1
12.43,0
67.68,81
9.13,0
47.19,59
53.82,63
60.65,73
39.68,43
5.47,0
48.96,51
9.22,0
50.79,56
57.65,71
53.35,62
59.14,75
5.47,0
34.263333333333335,40
37.86,46
49.42,66
23.334,13
38.03,39
48.39,64
57.27,64
66.37,71
17.4,0
20.74,5
43.46,38
34.7,35
28.2,35
52.86,68
36.38,42
47.17,45
41.38,48
52.81,67
23.2,21
52.17,58
65.85,83
17.08,0
14.02,1
50.28,60
14.28,0
43.51,51
47.38,59
12.05,2
62.35,75
11.89,0
45.56,53
27.27,27
62.24,69
15.97,0
9.87,3
13.75,0
60.59,75
11.41,0
47.99,59
14.02,8
14.79,0
11.24,0
48.93,63
15.15,0
52.96,59
10.55,0
8.69,0
10.09,0
37.24,30
16.9,9
29.7,30
11.25,5
14.45,0
51.79,61
72.61,80
48.62,59
57.19,67
54.66,66
67.22,73
45.5,57
30.1,29
11.8,0
47.53,54
7.65,0
25.41,12
19.51,0
58.56333333333333,61
56.63,67
55.43,66
48.85,57
13.4,0
20.37,14
37.41,42
44.45,54
54.34,63
9.28,0
59.7,75
14.77,0
59.83,73
51.3,64
56.43,55
56.79,69
15.17,0
46.99,55
56.52,59
8.45,1
57.62,67
8.86,0
36.9,40
22.46,0
50.71,61
10.28,0
71.294,74
29.8,37
51.92,68
7.05,0
59.14,72
13.84,0
40.76,48
8.98,0
15.2,3
41.4,51
15.7,0
45.75,54
10.06,0
15.6,0
10.35,0
3.17,0
31.72,27
12.68,0
49.42,54
37.23,40
36.95,41
11.14,0
43.22,56
9.67,0
38.75,46
10.28,2
10.86,0
57.73,51
13.62,0
33.73,37
20.73,0
44.99,54
17.71,6
10.7,0
9.13,1
33.12,33
45.43,50
20.78,7
36.85,35
40.36,50
31.65,31
35.1,43
60.2,71
29.39,25
7.2,0
50.45,63
45.66,51
12.39,0
16.66,0
56.75,72
8.15,0
58.06,62
68.39,82
65.44,77
12.0,0
3.56,0
52.98,62
12.71,0
56.88,69
14.8,5
10.9,7
25.55,14
72.0925,74
60.34,73
55.95,69
45.68,53
8.32,0
41.15,51
62.2,75
8.86,0
34.07333333333334,33
33.92,31
8.6,0
38.62,40
43.86,44
34.57,44
7.13,0
32.839000000000006,9
22.1,19
23.01,10
65.63,76
51.99,61
9.64,0
13.92,0
21.83,18
26.54,21
5.6,0
29.97,25
13.17,0
34.71,44
34.64,38
13.25,0
55.67,68
51.15,62
12.07,0
29.8,31
13.08,0
47.54,50
14.16,3
13.09,0
12.78,0
11.16,0
13.38,0
45.62,53
57.4,74
9.38,0
32.62,37
38.56,41
37.91,53
38.53,45
51.0,67
58.55,79
45.03,52
9.25,0
72.99,88
6.18,0
8.57,0
66.15,81
50.06,53
18.27,5
38.98,42
11.65,0
12.26,0
10.2,0
11.44,0
9.58,0
5.51,0
36.556666666666665,70
10.78,0
70.38,76
34.91,39
13.58,0
49.28,59
12.6,0
36.81,44
38.83,39
15.26,0
18.49,0
12.6,5
59.46,68
40.98,56
9.12,1
20.97,18
39.45,37
47.92,57
25.32,8
