predicted,actual
42.943054,50
41.025635,44
41.528732,42
56.022682,59
40.24232,47
45.49064,50
47.941727,53
13.911568,10
53.608475,61
8.010512,0
3.846848,0
15.3639555,13
28.575468,15
3.680743,0
24.84567,2
35.621193,33
55.421535,67
50.99437,57
6.219942,0
14.490528,0
6.271817,0
23.302376,21
42.677025,48
8.999256,0
42.434074,50
27.899714,26
16.593908,0
18.880487,0
13.9095125,0
74.6572,79
25.8663,25
10.985385,0
57.74883,74
56.178688,66
28.830122,29
64.8258,76
61.560093,75
28.902296,33
55.541706,65
51.20037,56
14.722182,0
10.96591,0
36.799458,31
33.707996,27
3.121648,0
5.8958445,0
5.0086923,0
43.74011,52
10.368257,0
48.296722,52
13.228299,0
5.153735,0
36.62258,40
59.881752,64
7.5924478,0
51.80455,56
51.179607,57
18.555223,11
11.402065,0
17.054989,0
4.450643,0
58.98234,74
29.081358,30
12.531785,2
62.5657,74
58.431168,69
58.646713,61
67.052055,76
39.099068,39
28.467672,17
67.553474,77
32.63984,33
7.356334,0
36.468338,41
58.00133,69
29.331116,25
46.87849,62
8.691717,0
38.94273,42
42.595795,42
43.701027,51
51.44133,58
28.630318,27
49.125885,62
37.28945,33
10.279019,0
15.893657,4
10.189985,0
32.36586,33
53.707485,54
40.219975,47
50.76929,51
28.030947,29
8.261736,0
39.529465,44
39.645462,50
17.375551,18
38.49477,54
40.082344,46
49.573154,55
46.06268,45
57.32435,72
9.727338,0
51.230637,53
55.131645,63
55.47855,55
52.692947,63
48.055096,52
12.746322,5
4.365717,0
56.010048,67
56.34663,69
60.1506,75
59.6374,65
25.629133,24
51.30224,52
64.968,72
12.362109,0
10.2438965,1
11.231023,0
64.896545,81
10.392762,0
54.673607,59
58.371887,63
64.00331,73
37.31266,43
4.592126,0
47.064396,51
10.024267,0
51.334915,56
48.48857,71
56.60249,62
60.40659,75
4.7759247,0
37.134132,40
42.014248,46
50.072952,66
27.201773,13
38.510006,39
57.765434,64
57.877644,64
63.47671,71
14.093855,0
12.648332,5
42.416656,38
34.612072,35
30.1437,35
52.97447,68
41.588585,42
45.780384,45
46.338726,48
51.67432,67
23.757372,21
55.070366,58
74.346344,83
13.172396,0
13.500289,1
56.127106,60
8.038008,0
46.808342,51
50.875816,59
12.308698,2
61.261803,75
7.1864495,0
48.59509,53
25.412144,27
69.52046,69
19.9752,0
12.030142,3
16.224672,0
63.266705,75
7.113855,0
52.325546,59
17.500595,8
12.802491,0
9.573748,0
50.855785,63
12.366858,0
56.95409,59
15.01339,0
9.10292,0
10.140977,0
33.451084,30
14.844359,9
29.207294,30
12.868751,5
15.581718,0
52.87273,61
73.03962,80
52.658833,59
52.64075,67
50.485214,66
68.02451,73
47.081253,57
32.08527,29
4.432061,0
45.730194,54
12.530111,0
20.251362,12
6.968633,0
56.31184,61
49.887783,67
55.95858,66
48.300125,57
8.432254,0
17.984037,14
38.330223,42
48.078594,54
53.426403,63
11.639556,0
52.8398,75
18.717535,0
63.234756,73
58.10688,64
57.40604,55
60.590733,69
14.415014,0
48.70632,55
49.856575,59
6.3285055,1
57.27332,67
9.663988,0
37.311794,40
19.650183,0
57.676643,61
8.177223,0
69.85428,74
28.551844,37
48.07099,68
7.318173,0
64.07245,72
11.676726,0
43.491665,48
3.775256,0
9.895809,3
40.50412,51
6.1381364,0
50.70994,54
6.5221834,0
9.65397,0
4.450774,0
5.6375694,0
30.229076,27
9.630743,0
48.228775,54
34.463135,40
36.822277,41
6.0318995,0
41.010864,56
13.87898,0
33.37586,46
10.526327,2
8.189064,0
55.330334,51
5.1937504,0
38.8494,37
20.842514,0
42.191795,54
14.562072,6
8.16843,0
17.850138,1
30.833399,33
46.101162,50
18.542757,7
36.64791,35
42.099537,50
34.34213,31
31.441437,43
62.41879,71
25.540777,25
2.5238097,0
49.118183,63
43.81651,51
11.0654545,0
13.565948,0
63.621162,72
4.9340076,0
53.387463,62
74.11019,82
63.59632,77
17.5114,0
4.292245,0
47.56936,62
11.672483,0
50.245995,69
16.398863,5
12.142919,7
27.361055,14
67.57146,74
58.47236,73
62.060947,69
47.574665,53
1.8464339,0
48.442226,51
63.546978,75
8.892118,0
32.16387,33
32.49044,31
2.3197381,0
40.633835,40
41.58622,44
35.77935,44
3.6450288,0
33.528564,9
22.004103,19
19.230967,10
62.05984,76
52.620583,61
5.3030148,0
15.667034,0
21.92374,18
23.779558,21
5.8330765,0
24.905785,25
9.994162,0
38.022324,44
29.455559,38
16.24523,0
58.52323,68
54.241207,62
2.9916747,0
31.704065,31
14.635518,0
43.580185,50
14.292493,3
12.869827,0
10.367538,0
8.370257,0
11.879253,0
48.44209,53
48.368256,74
3.0152419,0
30.832888,37
43.18208,41
46.277332,53
44.403397,45
52.64884,67
60.41498,79
45.802807,52
12.358084,0
74.00413,88
5.463901,0
7.30664,0
73.87603,81
49.584816,53
15.431056,5
41.166344,42
11.870387,0
5.123031,0
9.809705,0
11.313485,0
10.145444,0
5.8138065,0
33.376396,70
12.09829,0
63.483322,76
34.224316,39
4.201586,0
51.613155,59
8.626989,0
39.96657,44
36.74042,39
8.655569,0
8.040083,0
21.134258,5
60.406796,68
47.62657,56
2.6217685,1
19.168346,18
36.664417,37
51.32426,57
26.107847,8
16.36843,15
18.196709,0
19.97243,19
34.866196,37
52.35984,64
32.60673,25
35.3669,40
7.466802,0
51.167847,55
35.562107,44
50.817093,64
63.50169,76
13.01498,1
35.51886,39
6.0248837,0
20.409811,2
14.76404,0
5.1142645,0
45.16866,52
35.912403,38
55.038162,59
26.01106,26
32.226303,35
7.656179,1
42.269897,53
52.740433,64
18.35532,16
51.02156,55
51.849667,58
50.344227,60
23.962765,26
29.716534,32
59.401737,67
22.722523,9
37.50241,44
45.70094,60
30.990013,28
45.035774,49
1.4050319,0
57.70158,60
5.7339168,2
37.817135,37
60.166138,69
20.615038,19
21.55683,24
27.940788,29
37.643356,42
11.189364,0
27.640347,32
9.067106,0
6.232451,0
11.583882,3
2.177772,2
4.0059695,0
15.323111,0
11.817386,0
19.441656,11
29.709896,26
60.12073,60
40.21018,39
61.20923,70
25.250786,30
44.394585,53
15.360356,0
52.03702,58
4.470914,0
11.360161,0
9.123864,0
23.701986,23
35.712193,38
9.354492,0
59.580048,63
56.235737,63
15.445606,0
40.899582,48
10.867495,0
55.600464,59
8.776907,0
9.429258,0
50.553627,51
18.191595,0
64.401855,68
41.633675,56
58.779465,69
41.6519,44
56.48626,66
42.735374,57
38.738014,42
43.100777,41
17.249407,10
13.01971,0
60.951057,70
39.061207,43
24.624945,13
49.62724,63
51.621063,55
27.452673,24
54.820198,55
66.8601,74
8.003536,0
12.223718,0
45.658665,56
32.549454,14
35.05921,37
5.047985,0
7.381519,0
43.880184,47
38.178616,39
51.765915,71
39.33977,40
25.86699,15
35.785404,38
42.170048,54
44.31939,42
38.660503,38
51.778843,60
8.095322,0
7.48996,0
17.574749,15
6.0651293,0
52.41164,59
44.273907,44
18.449535,0
34.566944,33
7.914735,0
36.458153,38
43.388947,46
12.2099285,0
17.43205,17
52.464363,65
63.206722,70
43.13289,58
16.316217,0
46.43616,51
15.074448,3
34.02764,37
58.44862,76
18.267296,12
48.10616,46
10.304629,0
61.92891,64
44.367863,51
13.367083,12
73.936775,80
16.3285,0
57.684406,72
42.869865,51
47.56408,66
9.003605,0
43.87657,51
35.498596,37
53.29532,56
42.972904,52
66.996826,75
9.590786,0
61.51306,65
5.409928,0
27.78102,31
40.50524,38
31.063345,35
58.908276,65
44.857746,49
49.466316,63
5.8295164,0
35.000282,35
6.50909,0
47.135223,58
47.240334,53
2.1403668,0
23.809216,0
46.29084,50
61.735985,74
9.018641,0
34.469635,35
61.1288,69
55.527187,71
44.451115,54
30.000309,31
63.74935,77
12.98122,0
35.615833,32
45.11886,51
37.140633,33
34.11731,38
47.278282,52
7.846742,0
55.23956,59
33.1582,33
52.6024,57
57.804035,71
66.21231,67
55.856476,70
37.17842,37
40.118843,49
22.321157,8
33.147762,33
50.11818,64
52.79823,60
25.693453,13
18.061867,6
30.3514,20
65.722595,75
4.15578,1
50.761982,61
13.332152,4
12.826963,0
37.714542,36
32.228874,31
43.389816,46
55.90939,64
40.437294,48
58.65617,69
22.24198,14
36.866776,54
50.885887,59
65.88805,74
40.6341,54
35.33316,44
39.09036,43
14.271212,0
13.268217,0
8.508199,1
61.82174,71
5.531649,0
37.46985,45
33.49781,38
35.763565,33
31.281214,34
31.752401,34
5.8909616,0
41.62737,46
14.206118,9
17.832237,0
35.723534,34
47.109295,47
53.03432,62
13.992969,3
40.487865,46
55.945568,73
8.812594,0
11.171476,0
44.7454,70
35.012127,34
52.749096,71
30.930275,34
58.294273,67
40.763096,45
34.355316,30
6.226412,0
3.720273,0
60.82189,72
43.765366,48
44.693165,57
5.3271303,0
12.07789,0
57.021347,59
60.171722,69
54.61139,68
21.616179,23
41.327515,45
35.29047,31
40.613926,44
38.000378,43
44.591293,52
7.318433,2
9.029678,0
23.513645,22
15.346288,0
17.560566,0
13.477938,15
12.746699,0
19.401083,11
20.091045,0
9.5121155,0
13.362799,4
49.397686,61
12.774042,12
31.508095,37
35.164917,55
53.065308,56
46.88804,49
63.20616,74
56.231678,61
40.050938,45
12.042611,0
18.504719,0
2.1459289,0
45.73261,52
10.485477,0
44.732864,52
34.569016,40
48.137672,48
4.591987,0
13.178403,4
47.03735,51
2.7345726,0
57.60751,61
45.220657,56
45.205997,47
16.183167,0
64.20645,68
49.742123,46
64.573875,73
47.481106,54
56.27389,55
44.62028,49
14.727402,0
53.737045,57
55.07734,55
8.155382,0
56.21319,62
28.038668,35
21.445234,14
10.532999,0
54.044582,62
50.91146,56
18.397852,2
4.6093483,0
41.9891,41
64.678955,81
41.317776,44
37.684418,41
40.57609,38
34.432934,34
61.562836,62
68.76553,81
15.466539,7
50.379032,63
50.775852,63
9.094923,0
41.296394,45
13.141637,0
12.89594,0
50.38256,58
17.499992,0
15.96381,0
18.932785,0
10.095529,0
12.548535,0
38.511036,42
37.640106,41
14.022871,0
61.3314,71
65.07022,75
39.632454,41
25.666384,23
10.057287,0
7.8528996,0
57.357746,62
40.64747,45
14.345982,0
69.0776,78
63.40853,65
35.626953,42
63.868454,79
5.337637,0
32.11681,28
29.728014,26
33.05849,34
66.27993,77
40.633724,42
50.810356,49
32.143578,36
16.32358,0
79.56491,86
7.2163057,0
65.2059,75
15.670514,0
42.950504,57
42.03443,39
47.027367,51
7.2026157,0
18.389301,0
19.451244,15
10.617034,0
43.40912,44
34.057716,30
15.100155,10
41.30769,40
5.6805515,0
46.189117,57
45.7268,49
11.012425,3
40.810486,44
49.835304,53
36.08826,38
37.433186,40
34.982544,41
4.668318,0
55.238377,56
42.24914,47
32.545586,33
11.946685,0
20.574913,15
13.384566,2
18.116816,18
49.06351,62
13.487441,0
25.575422,27
36.851376,37
23.50795,27
12.075514,0
39.15833,43
56.59305,66
32.175217,35
3.9199417,0
37.269688,37
17.91701,0
62.281532,74
36.345104,37
48.048008,51
17.418055,0
8.432574,0
14.7032995,0
56.48818,78
9.998481,4
66.955734,71
40.229935,50
58.88653,73
14.122049,6
31.2274,32
67.53392,86
63.19627,67
3.121648,0
12.082691,0
29.090544,24
40.88253,46
50.3821,59
20.582207,15
49.099377,60
47.799904,52
20.619913,0
6.540474,0
43.63321,42
62.799656,76
37.359352,37
45.820755,48
65.89845,76
38.28327,41
6.866151,0
52.934402,60
51.419476,61
3.8711529,0
46.468304,51
48.494038,56
18.161829,3
33.177544,31
50.32058,55
7.9709706,0
9.208008,0
7.6018534,0
6.5247498,0
55.133663,60
51.63383,54
5.6686873,0
37.43633,47
13.936205,9
26.38914,25
38.78229,40
13.209951,0
9.682509,0
19.189583,2
48.958633,62
58.86063,62
1.7952725,0
70.225624,76
9.581685,0
23.097017,24
10.983008,0
53.169693,63
34.351,38
63.45826,69
16.271395,0
42.37542,47
48.05697,50
9.139725,0
36.6106,38
37.12959,38
25.904928,22
41.702515,50
23.573015,26
9.21549,0
12.17381,0
55.427963,69
60.963104,67
47.428482,52
72.367615,81
41.185757,41
19.393583,0
41.020805,44
58.174152,60
11.602114,0
35.38545,37
31.557537,35
26.07804,28
62.43752,74
67.73358,69
6.8296976,0
17.404636,0
62.7081,69
43.546276,51
27.499855,27
56.08146,61
66.652596,78
11.03244,0
57.444633,61
5.2551203,0
52.648804,56
22.08623,12
15.060993,0
69.24727,73
66.708824,77
53.12756,57
14.9208555,0
64.6661,75
21.199072,16
1.3066947,0
22.158587,0
49.21861,54
57.470093,76
6.9097476,0
13.191291,0
30.537384,31
7.391336,0
11.844068,0
53.6236,64
50.96013,61
39.707726,52
5.1245995,0
53.154243,69
51.59145,54
46.923992,53
10.809191,0
9.349276,2
5.575548,0
38.970066,43
10.245818,0
10.264098,0
12.505453,0
54.109264,64
62.805443,73
42.783295,48
34.407528,26
48.339878,55
30.116264,31
7.0853667,0
14.599896,15
5.712383,0
5.956225,0
39.63899,46
9.339452,0
51.67197,58
25.957653,27
29.908812,34
45.92071,51
40.854553,66
1.5046456,0
13.993175,0
39.89259,48
34.64903,33
41.146755,45
13.25139,8
31.938854,39
37.733112,49
7.607644,0
39.507206,49
50.90656,50
6.570875,0
14.559509,9
60.030056,68
18.495634,14
43.284843,46
4.4255347,1
68.05432,75
4.680365,0
12.271297,0
32.94746,18
15.840299,4
16.149912,9
4.2178817,0
58.32469,63
76.88162,90
62.897224,69
24.384296,18
18.903915,7
57.02139,56
30.609743,29
43.630367,49
3.4838653,0
32.991306,40
16.62394,17
45.772083,52
60.994244,74
3.6028008,0
11.595725,0
44.828377,10
10.447417,0
61.871445,68
9.148089,0
32.897537,36
43.757683,52
15.464918,16
6.6493673,0
44.443134,51
48.410133,54
50.27373,63
12.76613,0
63.46974,70
64.17653,71
49.38171,52
6.1440887,0
38.22511,44
35.548058,31
10.074583,4
19.432507,7
12.75462,1
47.549953,53
49.828583,56
30.736786,28
43.71783,52
63.510128,66
55.95945,52
4.639295,0
2.488866,0
59.433926,64
11.507731,0
42.877716,45
33.755886,36
28.364723,29
32.23886,28
39.238747,45
58.4593,58
